Pais;Número de documento;Tipo de documento;Estado de validaciones;Proveedor;Proveedor ID;Fecha de recepción;Asignación de SAP SKU;Estado Integración SAP;Estado de conciliación;Estado de las solicitudes;Orden de compra;Fecha de emisión;Número de envío;Estado de envío;Monto;Estado SAP;Estado en Jira;Sub - Estado en Jira
México;141318F2-B7B8-4A13-B15F-755113CC1C56;Factura;Sin errores;ALMART DISTRIBUIDORA DE PRODUCTOS NATURISTAS;9500116358;22-01-2025;Completa;Ingresada;Por procesar; ;4000076837;21-01-2025;37172969;Recibido;10198.21;Ingresada;En procesamiento;Inbound no Cerrado
México;6c7671e4-7c33-4773-8a7f-54f1711bfe8b;Factura;Con alertas;ASSA ABLOY MEXICO;9500124017;21-01-2025;Incompleta;Por procesar;Por procesar; ;4000076868;17-01-2025;37075623;En progreso;279311.27;Por procesar;En curso FinOps;Asignar SAP SKU
México;ABAE23B9-B2D1-11EF-9FF9-3BAC2A19387F;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000067218;05-12-2024;34542293;Cerrado con cambios;669870.03;Error de contabilización;En curso FinOps;Pendiente de revisión
México;F8026875-A8BC-11EF-945F-E3CAEBCFF77C;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000067218;22-11-2024;33171626;Cerrado con cambios;817436.88;Error de contabilización;En curso FinOps;Pendiente de revisión
México;FCD5F7D5-A7A8-11EF-8E05-0BB84530A6E6;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000067218;20-11-2024;33171790;Cerrado con cambios;421849.21;Error de contabilización;En curso FinOps;Pendiente de revisión
México;BC715FD9-A66C-11EF-9C8F-1D09526AA4D1;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000067218;19-11-2024;33165234;Cerrado con cambios;361192.57;Error de contabilización;En curso FinOps;Pendiente de revisión
México;A6F6CA95-B52E-4733-80D7-01EDE3FA5928;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;21-01-2025;Completa;Ingresada;Por procesar; ;4000076919;21-01-2025;37173234;Recibido;349042.33;Ingresada;En procesamiento;Inbound no Cerrado
México;43B2130F-A8B7-11EF-96F6-EFF0DD5F5531;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000068441;22-11-2024;33893681;Cerrado con cambios;385095.81;Error de contabilización;En curso FinOps;Pendiente de revisión
México;31BBE9EB-A295-11EF-864A-A78B5FE1E436;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000066305;14-11-2024;33172278;Cerrado con cambios;633327.17;Error de contabilización;En curso FinOps;Pendiente de revisión
México;31BBE95D-A295-11EF-BCD6-558D5B0CF422;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000066283;14-11-2024;33172161;Cerrado con cambios;802003.16;Error de contabilización;En curso FinOps;Pendiente de revisión
México;A2E801B1-4E4F-4B04-B414-6E004CF2CF29;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;21-01-2025;Completa;Ingresada;Por procesar; ;4000076219;21-01-2025;37012744;Recibido;526697.17;Ingresada;En procesamiento;Inbound no Cerrado
México;D8BA4CAF-A0FE-11EF-9E72-2FD748BA58A3;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000066283;12-11-2024;33164445;Cerrado con cambios;723205.74;Error de contabilización;En curso FinOps;Pendiente de revisión
México;A3EF79D7-A813-11EF-9DCC-03F06F2719E9;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000065355;21-11-2024;33165576;Cerrado con cambios;380608.83;Error de contabilización;En curso FinOps;Pendiente de revisión
México;D8BA4C85-A0FE-11EF-8DDC-BB1EF231BAF5;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000065355;12-11-2024;33216667;Cerrado con cambios;228636.63;Error de contabilización;En curso FinOps;Pendiente de revisión
México;A72339A8-9D2C-11EF-AA23-45D2C3599A50;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000065980;07-11-2024;33172535;Cerrado con cambios;865566.66;Contabilizada automáticamente;Done;Contabilizada automáticamente
México;00b4fb96-453d-4905-aed5-62114027b75b;Factura;Sin errores;POSTEL DEVELOPMENT;9600021258;21-01-2025;Completa;Ingresada;Por procesar; ;4000075900;20-01-2025;37346434;Recibido;499150.32;Ingresada;En procesamiento;Inbound no Cerrado
México;a40ff794-d96d-4777-83e3-5f33087edf1a;Factura;Sin errores;POSTEL DEVELOPMENT;9600021258;21-01-2025;Completa;Ingresada;Por procesar; ;4000075035;20-01-2025;37343483;Recibido;36574.8;Ingresada;En procesamiento;Inbound no Cerrado
México;9627DA61-9BFD-11EF-ACAD-E9F398D633A5;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000065980;05-11-2024;33214368;Cerrado con cambios;295513.59;Error de contabilización;En curso FinOps;Pendiente de revisión
México;5D347C6B-4A49-43CB-A882-B3B272B825CF;Factura;Sin errores;INGRAM MICRO MEXICO;9600001748;21-01-2025;Completa;Ingresada;Por procesar; ;4000074350;20-01-2025;37150487;Confirmado;175982.35;Ingresada;En procesamiento;Inbound no Cerrado
México;DFD5EE7E-D294-4278-B52C-11FC57198908;Factura;Sin errores;INGRAM MICRO MEXICO;9600001748;21-01-2025;Completa;Ingresada;Por procesar; ;4000076169;20-01-2025;37087841;Confirmado;712107.76;Ingresada;En procesamiento;Inbound no Cerrado
México;6C88B6D2-B57F-4601-9796-9CDD64176DE7;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;21-01-2025;Completa;Ingresada;Por procesar; ;4000076219;21-01-2025;37012486;Recibido;416878.39;Ingresada;En procesamiento;Inbound no Cerrado
México;4640ed75-c71c-4f62-a815-7980581292f5;Factura;Con alertas;COMERCIALIZADORA PEPSICO MEXICO;9500000053;21-01-2025;Incompleta;Por procesar;Por procesar; ;4000075218;07-01-2025;36414950;Cerrado con cambios;13682.68;Por procesar;En curso FinOps;Asignar SAP SKU
México;a8bb9f0d-78f6-4f30-9f63-9260108fbacc;Factura;Sin errores;COMERCIO EXCELENTE NORTE SUR;9600026684;21-01-2025;Completa;Ingresada;Por procesar; ;4000075464;21-01-2025;36719176;Confirmado;768003.40;Ingresada;En procesamiento;Inbound no Cerrado
México;145cd5a3-e43a-4e28-837a-be49045f0bdd;Factura;Con alertas;COMERCIALIZADORA PEPSICO MEXICO;9500000053;21-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000075202;07-01-2025;36415007;Cerrado con cambios;980.53;Error de contabilización;En curso FinOps;Pendiente de revisión
México;9BD6397B-51AF-42C2-867D-672D95AD7163;Factura;Sin errores;VIASTARA;9699193835;21-01-2025;Completa;Ingresada;Por procesar; ;4000077188;20-01-2025;37156944;Confirmado;285456.33;Ingresada;En procesamiento;Inbound no Cerrado
