pais;scarlett id;tipo de documento;estado de validaciones;proveedor;proveedor id;fecha de recepción;asignación de sap sku;estado integración de SAP;estado de conciliacion;estado de las solicitudes;orden de compra;fecha de emision;Número de envío;estado de envío;Vertical o vendor;Monto;Estado Integración SAP final;Estado en Jira
México;a40ff794-d96d-4777-83e3-5f33087edf1a;Factura;Sin errores;POSTEL DEVELOPMENT;9600021258;21-01-2025;Completa;Ingresada;Por procesar; ;4000075035;20-01-2025;37343483;Recibido;527927603;36574.8;Ingresada;Inbound no Cerrado
México;9627DA61-9BFD-11EF-ACAD-E9F398D633A5;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000065980;05-11-2024;33214368;Cerrado con cambios;466063253;295513.59;Error de contabilización;En curso FinOps - Pendiente de revisión
México;5D347C6B-4A49-43CB-A882-B3B272B825CF;Factura;Sin errores;INGRAM MICRO MEXICO;9600001748;21-01-2025;Completa;Ingresada;Por procesar; ;4000074350;20-01-2025;37150487;Confirmado;527927603;175982.35;Ingresada;Inbound no Cerrado
México;DFD5EE7E-D294-4278-B52C-11FC57198908;Factura;Sin errores;INGRAM MICRO MEXICO;9600001748;21-01-2025;Completa;Ingresada;Por procesar; ;4000076169;20-01-2025;37087841;Confirmado;527927603;712107.76;Ingresada;Inbound no Cerrado
México;6C88B6D2-B57F-4601-9796-9CDD64176DE7;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;21-01-2025;Completa;Ingresada;Por procesar; ;4000076219;21-01-2025;37012486;Recibido;466063253;416878.39;Ingresada;Inbound no Cerrado
México;4640ed75-c71c-4f62-a815-7980581292f5;Factura;Con alertas;COMERCIALIZADORA PEPSICO MEXICO;9500000053;21-01-2025;Incompleta;Por procesar;Por procesar; ;4000075218;07-01-2025;36414950;Cerrado con cambios;466063253;13682.68;Por procesar;En curso FinOps - Asignar SAP SKU
México;a8bb9f0d-78f6-4f30-9f63-9260108fbacc;Factura;Sin errores;COMERCIO EXCELENTE NORTE SUR;9600026684;21-01-2025;Completa;Ingresada;Por procesar; ;4000075464;21-01-2025;36719176;Confirmado;449695682;768003.40;Ingresada;Inbound no Cerrado
México;145cd5a3-e43a-4e28-837a-be49045f0bdd;Factura;Con alertas;COMERCIALIZADORA PEPSICO MEXICO;9500000053;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000075202;07-01-2025;36415007;Cerrado con cambios;466063253;980.53;Error de contabilización;En curso FinOps - Pendiente de revisión
México;9BD6397B-51AF-42C2-867D-672D95AD7163;Factura;Sin errores;VIASTARA;9699193835;21-01-2025;Completa;Ingresada;Por procesar; ;4000077188;20-01-2025;37156944;Confirmado;481988724;285456.33;Ingresada;Inbound no Cerrado
México;d6ed10e1-6c66-46c0-b1e7-c871cbb37cce;Factura;Sin errores;CAMPI ALIMENTOS;9500124060;21-01-2025;Completa;Ingresada;Por procesar; ;4000076200;16-01-2025;37232292;Confirmado;466063253;371409.68;Ingresada;Inbound no Cerrado
México;082736f3-7677-4b44-b1ae-fd61859219f4;Factura;Sin errores;GRUPO EDITORIAL PATRIA;9500124035;21-01-2025;Completa;Ingresada;Por procesar; ;4000075176;21-01-2025;37156018;Confirmado;481988724;40264.50;Ingresada;Inbound no Cerrado
México;B437DC99-C3ED-11EF-B58C-4FC33A6BFB4D;Factura;Sin errores;TCL ELECTRONICS MEXICO;9699193728;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000071264;26-12-2024;36587479;Cerrado;527927603;794679.96;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;7cd8d67e-a43c-4070-b485-c3aa432c0aba;Factura;Sin errores;GRUPO EDITORIAL PATRIA;9500124035;21-01-2025;Completa;Ingresada;Por procesar; ;4000076112;16-01-2025;37156057;Confirmado;481988724;48341.25;Ingresada;Inbound no Cerrado
México;A4D850FF-A765-9A47-8857-CD2193823092;Factura;Sin errores;SAMSUNG ELECTRONICS MEXICO;9699193288;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075025;16-01-2025;36369704;Cerrado;527927603;334309.68;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;50ae3fdb-9cc3-440f-82e8-ba504c6c506f;Factura;Sin errores;GRUPO EDITORIAL PATRIA;9500124035;21-01-2025;Completa;Ingresada;Por procesar; ;4000074523;17-01-2025;37155934;Confirmado;481988724;77358.75;Ingresada;Inbound no Cerrado
México;848CD6A5-7FE4-4B75-B7D6-5633C69A53A8;Factura;Sin errores;VECTOR DELTA;9500034448;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074166;21-01-2025;36089797;Cerrado con cambios;481988724;48527.05;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;98106CCC-2B27-450E-A846-EF008CD47CC5;Factura;Con alertas;GRUPO CONVERSE DE MEXICO;9699193604;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000076256;14-01-2025;36720462;Cerrado con cambios;449695682;360119.80;Error de contabilización;En curso FinOps - Pendiente de revisión
México;28AB7919-4F12-4BEF-A435-55BE090E1E4E;Factura;Sin errores;GRUPO CONVERSE DE MEXICO;9699193604;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000076256;14-01-2025;36720462;Cerrado con cambios;449695682;26235.60;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;E979DB85-FD87-412C-AF60-9C80DF6387A0;Factura;Sin errores;VECTOR DELTA;9500034448;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074808;21-01-2025;36369031;Cerrado con cambios;449695682;86731.69;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;64FE9A85-5839-4417-B3CC-A38EB8AD3143;Factura;Sin errores;GRUPO CONVERSE DE MEXICO;9699193604;21-01-2025;Completa;Ingresada;Por procesar; ;4000075192;16-01-2025;36992574;Confirmado;449695682;23985.05;Ingresada;Inbound no Cerrado
México;56998E70-52DC-4AD6-9B2A-838D89FE9CCD;Factura;Con alertas;GRUPO CONVERSE DE MEXICO;9699193604;21-01-2025;Completa;Ingresada;Por procesar; ;4000075192;15-01-2025;36992574;Confirmado;449695682;8128178.81;Ingresada;Inbound no Cerrado
México;09E66DF1-9E25-4159-870B-BE333DCDE77E;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000076206;17-01-2025;900001612;Cerrado;794908452;396974.62;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;EECA4FF7-9D1B-447B-B6FB-BF4DDECF5250;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075021;16-01-2025;900001610;Cerrado;794908452;2643.64;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;D2308AC2-81AF-4316-851D-3491600BD556;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074345;16-01-2025;900001611;Cerrado;794908452;317236.80;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;93567D02-EAC5-4348-BA4B-DA5842F9A6B1;Factura;Con alertas;GIFAN INTERNACIONAL;9600021152;21-01-2025;Completa;Esperando MIGO;Por procesar; ;4000066755;20-01-2025;32594488;INP;466063253;409881.53;Esperando MIGO;En Analisis Comercial
México;C37D49FA-93C3-4103-B72F-A7089AEBF11A;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;Contabilizada manualmente;Conciliada; ;4000074356;14-01-2025;36583499;Cerrado;527927603;199424.78;Contabilizada manualmente;Done - Contabilizada manualmente
México;B6376112-7414-467F-952E-9A2D688ED208;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;"Error de contabilización ";Conciliada; ;4000074356;14-01-2025;36583499;Cerrado;527927603;654957.72;Error de contabilización;En curso FinOps - Pendiente de revisión
México;160255E9-7D17-41A9-82DA-DAE7C77CA3A1;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;"Error de contabilización ";Conciliada; ;4000074356;14-01-2025;36583499;Cerrado;527927603;669195.93;Error de contabilización;En curso FinOps - Pendiente de revisión
México;777F8529-E63E-45F6-865E-92FDBF603606;Factura;Sin errores;HISENSE MEXICO;9699194205;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074345;16-01-2025;900001609;Cerrado;794908452;317236.80;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;4D06AC6F-D34D-11EF-A239-3F65BAC4B913;Factura;Sin errores;NEWELL BRANDS DE MEXICO;9500032293;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075124;15-01-2025;36655717;Cerrado;481988724;56730.89;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;27766CEC-E3DC-4B82-AB22-E21B6708462A;Factura;Sin errores;GENOMMA LAB INTERNACIONAL;9500010022;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000077163;20-01-2025;37231963;Cerrado con cambios;466063253;234499.72;Error de contabilización;En curso FinOps - Pendiente de revisión
México;152DC810-BC01-4CE5-BD8F-2D945ED3EBC1;Factura;Sin errores;GENOMMA LAB INTERNACIONAL;9500010022;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000077233;20-01-2025;37232908;Cerrado;466063253;28968.15;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;546B936D-6393-448C-A162-0D7FA6066A69;Factura;Sin errores;GENOMMA LAB INTERNACIONAL;9500010022;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000077160;20-01-2025;37231137;Cerrado;466063253;36939.16;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;8884ABD9-1681-42E6-B188-EE4F12C71076;Factura;Con alertas;ALCEAN CORPORATIVO;9500181814;20-01-2025;Completa;Contabilizada manualmente;Con diferencias; ;4000074163;20-01-2025;36089996;Cerrado con cambios;527927603;2010033.88;Contabilizada manualmente;Done - Contabilizada manualmente
México;cc4fa069-f70a-48e7-88b3-df273470a86e;Factura;Con alertas;GANADEROS PRODUCTORES DE LECHE PURA;9500051866;20-01-2025;Completa;Contabilizada manualmente;Con diferencias; ;4000074516;15-01-2025;36239641;Cerrado con cambios;466063253;638126.82;Contabilizada manualmente;Done - Contabilizada manualmente
México;7A3E563A-D28A-11EF-9385-0B96437C254E;Factura;Sin errores;ROBERT BOSCH;9500031396;20-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000076221;14-01-2025;36927040;Cerrado;481988724;62264.79;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;25050a8a-063f-442a-b4d8-31aca0f58b32;Factura;Con alertas;ADIDAS DE MEXICO;9699194776;20-01-2025;Completa;Ingresada;Por procesar; ;4000074683;17-01-2025;36318543;Recibido;449695682;430069.63;Ingresada;Inbound no Cerrado
México;0295D012-CFD9-11EF-BEA9-A961F5A8C2B6;Factura;Sin errores;ROBERT BOSCH;9500031396;20-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075045;10-01-2025;36725659;Cerrado;481988724;33549.49;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;76eed3e7-fb1e-49d1-8c41-a89b974f0d25;Factura;Con alertas;ADIDAS DE MEXICO;9699194776;20-01-2025;Completa;Contabilizada automáticamente;Con diferencias; ;4000074547;17-01-2025;36310232;Cerrado;481988724;29169.22;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;14acf44b-edf9-4f7e-9df0-a3ccfbfecf11;Factura;Con alertas;ADIDAS DE MEXICO;9699194776;20-01-2025;Completa;Contabilizada manualmente;Con diferencias; ;4000074676;14-01-2025;36048516;Cerrado con cambios;449695682;1048034.32;Contabilizada manualmente;Done - Contabilizada manualmente
México;35173e69-fd9b-402e-a718-0a9371ab6aaa;Factura;Con alertas;ADIDAS DE MEXICO;9699194776;20-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000073233;14-01-2025;36045130;Cerrado con cambios;449695682;1329483.18;Error de contabilización;En curso FinOps - Pendiente de revisión
México;222a609d-af68-4221-9e02-2c392693ef00;Factura;Con alertas;ADIDAS DE MEXICO;9699194776;20-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Por procesar; ;4000072387;06-01-2025;35097822;Cerrado con cambios;449695682;113375.68;Error de contabilización;En curso FinOps - Pendiente de revisión
México;F42A3DCA-5327-463B-8772-6A11844B4420;Factura;Sin errores;3M MEXICO;9500032174;20-01-2025;Completa;Ingresada;Por procesar; ;4000076855;17-01-2025;37161853;Confirmado;466063253;549406.04;Ingresada;Inbound no Cerrado
México;D3D9255E-CBE1-40AD-8F18-4E74DFC5E534;Factura;Sin errores;ELECTRONICA STEREN;9600018234;20-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000074344;20-01-2025;36202678;Cerrado con cambios;527927603;134922.41;Error de contabilización;En curso FinOps - Pendiente de revisión
México;649D7A21-088A-46F6-9BA6-EF0E4BAAFAC5;Factura;Con alertas;PIERRE FABRE MEXICO;9500039923;20-01-2025;Completa;Contabilizada manualmente;Con diferencias; ;4000076093;16-01-2025;36923422;Cerrado con cambios;466063253;2089802.67;Contabilizada manualmente;Done - Contabilizada manualmente
México;B0F99BE6-9DE0-47DC-9FA1-AA01C7E054BA;Factura;Con alertas;PIERRE FABRE MEXICO;9500039923;20-01-2025;Completa;Contabilizada manualmente;Conciliada; ;4000075954;16-01-2025;36923422;Cerrado con cambios;466063253;717306.89;Contabilizada manualmente;Done - Contabilizada manualmente
México;05E118C1-6F4F-4BEF-99A0-4614D8084185;Factura;Con alertas;PIERRE FABRE MEXICO;9500039923;20-01-2025;Completa;Contabilizada manualmente;Con diferencias; ;4000075955;16-01-2025;36923422;Cerrado con cambios;466063253;975149.93;Contabilizada manualmente;Done - Contabilizada manualmente
México;466BA75D-E53A-4D5F-B56F-73595FBE8F06;Factura;Con alertas;ABBOTT LABORATORIES DE MEXICO;9500000300;20-01-2025;Completa;Ingresada;Por procesar; ;4000076828;15-01-2025;37164601;Confirmado;466063253;461673.58;Ingresada;Inbound no Cerrado
México;E4077CCC-A596-45F9-8041-F0CCB97E3F1C;Factura;Con alertas;ABBOTT LABORATORIES DE MEXICO;9500000300;20-01-2025;Incompleta;Por procesar;Por procesar; ;4000076828;15-01-2025;37164476;Confirmado;466063253;2478.00;Por procesar;Inbound no Cerrado
México;DC0C8F05-5576-4B4B-97DE-42D14BD250C2;Factura;Sin errores;VIASTARA;9699193835;20-01-2025;Completa;Ingresada;Por procesar; ;4000076834;16-01-2025;37087062;Confirmado;481988724;98550.40;Ingresada;Inbound no Cerrado
México;5B6085ED-9C43-4190-A8EC-D1A0341D4591;Factura;Con alertas;MARCAS NESTLE;9500000127;20-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000076142;17-01-2025;36660639;Cerrado con cambios;466063253;374238.55;Error de contabilización;En curso FinOps - Pendiente de revisión
México;7F87A4F3-9440-4B07-A0EB-A3361FE07641;Factura;Sin errores;CHURCH & DWIGHT;9600027652;20-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000076144;16-01-2025;36914666;Cerrado;466063253;78696.86;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;CBB1CB24-DEA2-460F-B56B-EDB467D1E472;Factura;Sin errores;CHURCH & DWIGHT;9600027652;20-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075194;17-01-2025;36643965;Cerrado;466063253;274165.48;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;90E3F983-CB75-4558-91F9-B1DE3931654D;Factura;Sin errores;CHURCH & DWIGHT;9600027652;20-01-2025;Completa;Contabilizada manualmente;Conciliada; ;4000076140;16-01-2025;36916666;Cerrado;466063253;26887.04;Contabilizada manualmente;Done - Contabilizada manualmente
México;89CDAFED-4CBC-46DD-8BC8-FD01B56D11EE;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;19-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000076219;19-01-2025;37011305;Cerrado con cambios;466063253;411265.84;Error de contabilización;En curso FinOps - Pendiente de revisión
México;2B1B31A2-9DA3-468D-AE66-224CB978A07D;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074355;17-01-2025;36509856;Cerrado;527927603;1802145.56;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;38D05085-F5C9-4A27-9501-E57BFD7383AD;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074355;17-01-2025;36509983;Cerrado;527927603;1802145.56;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;1551D7F2-4A77-4229-9411-B12835D0902F;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075092;16-01-2025;900001605;Cerrado;794908452;301724.47;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;48D35BB9-C895-4C85-99B3-AFBE83CCE0C1;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074861;15-01-2025;36509791;Cerrado;527927603;278732.22;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;AEB2A9A1-A432-440A-A809-9B160E523E43;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000076085;15-01-2025;36935308;Cerrado;527927603;251493.25;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;AB2A0BC3-64B6-4DAA-85BB-CC1B93C665E1;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075136;15-01-2025;36509699;Cerrado;527927603;542102.17;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;6F8D275D-C64E-424D-AD12-CEA6A7645C95;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000076475;15-01-2025;36812412;Cerrado;527927603;344692.15;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;83A82C40-0080-4FE3-AE38-55B73F3ADAF5;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074355;15-01-2025;36509616;Cerrado;527927603;440180.33;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;F3C5C7FF-AA58-4B9C-9500-9965DA28D143;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074355;13-01-2025;36509447;Cerrado con cambios;527927603;328887.62;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;82A0E596-A697-4FFD-8F22-2688CED85023;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000075136;13-01-2025;36509341;Cerrado con cambios;527927603;8922.45;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;99C63F7E-8502-4FF2-9EF9-5C9AED03F2F8;Factura;Sin errores;LG ELECTRONICS MEXICO;9699194268;19-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000074861;13-01-2025;36509035;Cerrado;527927603;253757.40;Contabilizada automáticamente;Done - Contabilizada automáticamente
